Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
1014569292506,,A I A MANAGEMENT LTD,BENTWATERS BUS PK,RENDLESHAM,,Woodbridge,Suffolk,IP12 2TW,England,635372,254094,BRAMFORD GRID 132kV,WICKHAM MARKET GRID 132/33kV,BENTWATERS PRIMARY 33/11kV,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,6.0,,,,,,,,,,,,,No,Connected,6.0,6.0,6.316,0.3,0.316,2016-10-01,,,,,,,,,,,,,,2021-06-14,1.43789569120143,52.134977779977,"52.134977779977,1.43789569120143",EPN-S0000000H1040,Solar PV
1050000636890,,Dalkia PLC,LISTER HOSP,COREYS MILL LANE,,STEVENAGE,Herts,SG1 4AB,England,552207,227408,WYMONDLEY MAIN 132kV,WYMONDLEY GRID 132/33kV,VERITY WAY PRIMARY 33kV,33kV,Eastern Power Networks (EPN),Fossil Gas,Steam turbine (thermal power plant),,,,4.5,,,,,,,,,,,,,No,Connected,4.5,4.5,4.737,,,2016-06-13,,,,,,,,,,,,,,2021-06-14,0.212058550957542,51.9243906208515,"51.9243906208515,0.212058550957542",EPN-S0000000G8064,Fossil fuel
1050000664025,,GREENVALE MARCH FLOODS,GREENVALE MARCH FLOODS,FERRY RD,,Wimlington,Cambs,PE15 0UW,England,535456,293299,WALPOLE GIS 132KV,MARCH GRID 132/33kV,CHATTERIS PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,1.0,,,,,,,,,,,,,No,Connected,1.0,1.0,1.053,0.4,0.421,2014-05-07,,,,,,,,,,,,,,2021-01-15,-0.00501385979775543,52.5207430206513,"52.5207430206513,-0.00501385979775543",EPN-S0000000H6053,Wind
1050000496725,,Matrix Networks Limited,"SCOTTOW RD, AD PLANT,",AD PLANT,,Norwich,Norfolk,NR10 5DP,England,626600,324300,NORWICH MAIN 132kV,THORPE GRID 132/33kV,SCOTTOW PRIMARY 33kV,11kV,Eastern Power Networks (EPN),biomass,Other,,,,2.8,,,,,,,,,,,,,No,Connected,2.8,2.8,2.947,,,2014-01-01,,,,,,,,,,,,,,2020-11-13,1.35758273009995,52.7687246019047,"52.7687246019047,1.35758273009995",EPN-S0000000H5059,Biogas
1030072846525,,Biffa Waste Services,(6U0598) Eye Landfill site,Eyebury Road,Eye,PETERBOROUGH,Cambs,PE6 7TH,England,523168,301835,WALPOLE GIS 132KV,PETERBOROUGH EAST GRID 132/11kV,,11kV,Eastern Power Networks (EPN),Waste,Steam turbine (thermal power plant),,,,1.0,,,,,,,,,,,,,No,Connected,1.0,1.0,1.053,0.1,0.105,2011-02-01,,,,,,,,,,,,,,2021-11-12,-0.182849653574565,52.6003547006552,"52.6003547006552,-0.182849653574565",EPN-S0000000F6057,Biogas
Data not available,,Power Control Solutions,OLIVER RD,,,WEST THURROCK,Essex,RM20 3ED,England,558028,177365,WEST THURROCK GRID,WEST THURROCK GRID,HEDLEY AV HSS,11kV,Eastern Power Networks (EPN),Fossil oil,Engine (combustion / reciprocating),,,,1.6,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,1.6,1.6,1.684,,,2012-08-16,,,,,,,,2021-12-14,0.273982875086522,51.4731838900738,"51.4731838900738,0.273982875086522",EPN-S0000000H7010,Fossil fuel
1050000540028,,DNO Consulting Limited,SPRIGGS FARM,LITTLE SAMPFORD,,SAFFRON WALDEN,Essex,CB10 2SA,England,562524,232501,PELHAM GRID 132kV,THAXTED GRID 132kV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,No,Connected,20.0,20.0,21.053,,,2013-09-24,,,,,,,,,,,,,,2020-11-13,0.364365271325054,51.9672282554545,"51.9672282554545,0.364365271325054",EPN-S0000000D3051,Solar PV
1050000645468,,Powersystems UK Ltd,BYGRAVE LODGE FM,,,BALDOCK,HERTS,SG7 6QX,England,527511,235543,WYMONDLEY MAIN 132kV,LETCHWORTH GRID 132/33kV,LETCHWORTH FACTORY 33/11kV,11kV,Eastern Power Networks (EPN),biomass,Steam-gas turbine (CCGT),,,,2.6,,,,,,,,,,,,,No,Connected,2.6,2.6,2.737,,,2014-09-25,,,,,,,,,,,,,,2020-11-13,-0.143841829867551,52.003690776984,"52.003690776984,-0.143841829867551",EPN-S0000000H8054,Biogas
1050000823467,,Redacted,KENNINGHALL FARM,NORTH LOPHAM RD,,Norwich,Norfolk,NR16 2DU,England,597890,285370,BRAMFORD GRID 132kV,DISS GRID 132/33KV,,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,12.0,,,,,,,,,,,,,No,Connected,12.0,12.0,12.632,0.1,0.105,2015-03-30,,,,,,,,,,,,,,2021-06-14,0.909378509654375,52.4304821729,"52.4304821729,0.909378509654375",EPN-S0000000D1014,Solar PV
1050001042229,,Dragon Infrastructure Solutions Ltd,TROWSE SOLAR FARM,WHITE HORSE LANE,,NORWICH,NORFOLK,NR14 8SL,England,624108,306074,NORWICH MAIN 132kV,TROWSE GRID 132kV,ALPINGTON PRIMARY 33/11kV,33kV,Eastern Power Networks (EPN),solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Connected,5.0,5.0,5.263,,,2016-03-07,,,,,,,,,,,,,,2020-11-13,1.30831237312382,52.6061925443077,"52.6061925443077,1.30831237312382",EPN-S0000000H5026,Solar PV
